Period,Altman Z-Score
1588,12.13704429
1589,41.73794973
1590,37.4200845
1591,119.2054607
1592,16.07004162
1593,25.23295179
1594,36.01275447
1595,22.85385919
1596,31.09685435
1597,801.720722
1598,18.37744896
1599,24.77301769
1600,34.36368394
1601,19.85255289
1602,96.68992995
1603,18.2452485
1604,128.4880139
1605,7.328337619
1606,128.7021566
1607,98.3004901
1608,45.15667456
1609,61.36103473
1610,17.66372857
1611,24.146154
1612,14.70958533
1613,24.85230756
1614,27.90663227
1615,18.22343128
1616,16.66543061
1617,20.52605433
1618,18.48380559
1619,119.1182743
1620,34.0472126
1621,14.69005357
1622,47.44436662
1623,91.00560656
1624,584.0996777
1625,177.9619614
1626,19.47600883
1627,16.63797337
1628,38.61026648
1629,25.167838
1630,20.93284375
1631,97.50952902
1632,50.61999882
1633,48.81636765
1634,27.02855077
1635,24.44415734
1636,23.11289112
1637,17.52709015
1638,11.23363122
1639,10.27325457
1640,18.77611034
1641,14.38698566
1642,13.28471894
1643,70.2466631
1644,17.57255842
1645,79.43304528
1646,22.28456297
1647,42.760095
1648,32.49931844
1649,18.72245305
1650,28.37132615
1651,13.06534999
1652,293.4048503
1653,19.49281234
1654,41.85040445
1655,21.16130901
1656,59.76751007
1657,32.57525578
1658,20.19678582
1659,37.83559087
1660,80.91678229
1661,23.06665568
1662,50.40885655
1663,21.61386075
1664,15.51056734
1665,36.60849676
1666,74.33642567
1667,15.40921033
1668,46.18098925
1669,19.94585412
1670,55.58222303
1671,9.887900734
1672,41.59594427
1673,86.6190762
1674,8.749172746
1675,9.856925883
1676,12.45250733
1677,66.61460212
1678,11.23287549
1679,30.97611346
1680,15.73447252
1681,12.36215418
1682,17.70900149
1683,69.77297124
1684,26.35978884
1685,10.84112515
1686,100.9779795
1687,367.8919318
1688,142.1827939
1689,64.49405665
1690,59.61610596
1691,115.1273752
1692,5.574113088
1693,33.32672448
1694,36.2806419
1695,31.19730706
1696,6.451978993
1697,58.98729757
1698,25.03285611
1699,18.24287203
1700,19.25148367
1701,31.53942721
1702,28.59870556
1703,9.024102517
1704,28.1432866
1705,30.29315096
1706,46.6656034
1707,19.33688875
1708,17.4938863
1709,52.86342369
1710,24.53041168
1711,36.81314634
1712,100.4013451
1713,20.80588352
1714,16.65307416
1715,29.69859314
1716,18.59161494
1717,92.32134386
1718,17.50291889
1719,187.85468
